id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
18,Vandana Mishra,324655947287,16422906506,Central Bank,"House 379, Azad Nagar, Udaipur",Udaipur,PM-KISAN,3579.89,1976-07-16,9722002279,2024-09-15
19,Usha Rajput,171507913547,21492438493,UCO Bank,"House 96, New Colony, Bhagalpur",Bhagalpur,Ayushman Bharat,38613.85,1977-11-21,9249700937,2025-04-02
20,Mohan Joshi,104776583981,46319477591,State Bank of India,"House 49, Shantinagar, Raipur",Raipur,PMKVY Skill Dev,15610.9,1964-06-22,9369900153,2024-10-28
21,Mamta Chatterjee,414169645152,89277136609,Punjab National Bank,"House 571, Lal Bahadur Nagar, Allahabad",Allahabad,NSP Scholarship,7056.72,1961-08-05,9718348500,2022-09-01
22,Parvati Mehta,726362534881,31806091083,Punjab National Bank,"House 487, Rajiv Nagar, Indore",Indore,NSAP Pension,2856.62,1983-01-30,9147817071,2022-11-28
23,Neha Singh,211336570792,32510097527,Canara Bank,"House 273, Krishnanagar, Lakhimpur",Lakhimpur,PM-KISAN,5977.45,1986-08-23,9831039615,2022-11-10
24,Pushpa Devi,331118537658,93677815670,Indian Bank,"House 566, Nehru Vihar, Amritsar",Amritsar,PMKVY Skill Dev,18565.9,1966-07-26,9680506462,2020-10-17
25,Savita Naidu,253299419720,69525917816,State Bank of India,"House 395, Indira Colony, Bhagalpur",Bhagalpur,PM Awas Yojana,141108.58,1992-11-07,9085926724,2023-11-27
26,Lalita Joshi,542414832214,64498876583,Central Bank,"House 951, Nehru Vihar, Jaipur",Jaipur,NSAP Pension,4576.57,1989-04-05,9344283421,2022-08-23
27,Priya Devi,408944851226,47177545408,Union Bank,"House 127, Azad Nagar, Ludhiana",Ludhiana,Ayushman Bharat,46454.64,1985-01-29,9699178984,2023-12-25
28,Anil Bind,633360046898,39453520632,UCO Bank,"House 848, Lal Bahadur Nagar, Patna",Patna,PMSBY Insurance,1680.19,1959-10-03,9326094266,2021-02-22
29,Sanjay Devi,893582650993,26892403365,Bank of Baroda,"House 681, Gandhi Nagar, Gorakhpur",Gorakhpur,PM Awas Yojana,122433.24,1998-08-04,9226664162,2024-04-20
30,Rajesh Pandey,320444399357,71497910578,Central Bank,"House 369, Rampur, Barpeta",Barpeta,NSAP Pension,3702.04,1962-01-27,9344409158,2022-04-01
31,Vandana Bind,924288621412,87750693920,Allahabad Bank,"House 726, Subhash Nagar, Muzaffarpur",Muzaffarpur,PMKVY Skill Dev,13125.33,1969-03-19,9566454531,2021-09-16
32,Vijay Shah,361303240241,60278344984,Canara Bank,"House 610, Azad Nagar, Bilaspur",Bilaspur,PM Awas Yojana,121059.55,1984-10-24,9864069855,2025-03-30
33,Rekha Iyer,079488432184,60861483019,Bank of India,"House 623, Lal Bahadur Nagar, Darrang",Darrang,NSAP Pension,3571.09,1966-08-20,9023900780,2023-08-24
34,Hari Mallah,499878190461,36002692755,Canara Bank,"House 649, Model Town, Allahabad",Allahabad,MGNREGA,9276.34,1975-09-20,9197472082,2021-05-13
35,Pooja Rani,533369272886,02322979720,Bank of Baroda,"House 171, Nehru Vihar, Bhopal",Bhopal,Ayushman Bharat,16794.81,1977-06-14, ,2024-05-05
36,Pooja Mishra,850465700494,95976035347,Punjab National Bank,"House 506, Lal Bahadur Nagar, Darbhanga",Darbhanga,PMKVY Skill Dev,14855.1,1973-10-18,9114813960,2025-09-25
37,Rekha Chauhan,752992483843,24432664718,Punjab National Bank,"House 707, Krishnanagar, Bhopal",Bhopal,NSAP Pension,564568.5,1970-05-09,9373233216,2023-01-12
38,Ritu Verma,099092529207,42919117467,Central Bank,"Plot No.2, Near Panchayat Office, Jorhat",Patna,Ayushman Bharat,16068.19,1999-08-26,9644265604,2025-08-28
39,Anjali Kewat,969482191504,79638861355,Bank of Baroda,"House 611, Nehru Vihar, Darrang",Darrang,PM Ujjwala,2819.45,1989-08-16,9101976834,2023-05-18
40,Devaki Kurmi,745196314750,03246165374,Indian Bank,"House 784, Sardar Patel Nagar, Jodhpur",Jodhpur,PM Fasal Bima,2187.54,1959-09-12,9659025582,2024-11-27
41,Bharat Ghosh,321164257522,60278344984,Bank of India,"House 265, Nehru Vihar, Bhopal",Bhopal,NSAP Pension,3077.36,1994-12-23,9422462181,2025-02-09
42,Rajan Kahar,837294763367,44603777928,State Bank of India,"House 256, Sardar Patel Nagar, Barpeta",Barpeta,PMSBY Insurance,1500.04,1957-06-03,9049252964,2025-10-26
43,Prakash Iyer,380773709246,05296111046,Indian Bank,"House 713, Ambedkar Nagar, Kanpur",Kanpur,PM Awas Yojana,149571.78,1996-03-24,9476421744,2022-05-12
44,Anil Chatterjee,842165894634,37978353667,Bank of India,"House 529, Netaji Nagar, Bhopal",Bhopal,PM-KISAN,4955.24,1999-04-11,9559915045,2024-12-19
45,Savita Singh,898254316037,64582162687,UCO Bank,"House 909, Ambedkar Nagar, Jorhat",Jorhat,NSP Scholarship,4018.95,1993-05-15,9268794229,2020-12-07
46,Mukesh Chauhan,579675625860,87302465611,Allahabad Bank,"House 648, New Colony, Barpeta",Barpeta,PM Fasal Bima,9738.99,1959-05-22,9864857329,2022-06-03
47,Kamla Yadav,410440306964,03361931932,Punjab National Bank,"House 887, Netaji Nagar, Sonitpur",Sonitpur,MGNREGA,14871.75,1996-08-07,9581039937,2022-05-08
48,Nisha Joshi,430003077184,39789018721,Central Bank,"House 895, Model Town, Bhagalpur",Bhagalpur,PM Ujjwala,2036.24,1996-06-19,9370604878,2024-05-30
49,Meera Kahar,336633765702,89970240943,Bank of India,"House 527, Shantinagar, Lucknow",Lucknow,NSAP Pension,2039.46,1969-05-28,9427359300,2025-12-08
50,Mohan Lodhi,560393965930,29852547887,Bank of India,"House 57, Rajiv Nagar, Jorhat",Jorhat,NSAP Pension,1867.6,1958-11-08,9595897019,2023-08-20
51,Devaki Yadav,010136748917,11111111111,State Bank of India,"House 634, Ambedkar Nagar, Bilaspur",Bilaspur,PM-KISAN,4626.07,1932-02-28, ,2025-02-24
52,Rakesh Singh,859390224542,11687306544,Bank of Baroda,"House 704, Nehru Vihar, Amritsar",Amritsar,PM Fasal Bima,446098.06,1979-10-02,9654826172,2025-05-15
53,Mukesh Reddy,589604220324,07046765331,Canara Bank,"House 336, Krishnanagar, Jodhpur",Jodhpur,PM Ujjwala,2165.54,1997-01-09,9551679385,2023-08-18
54,Vijay Mishra,685776167944,72328076068,Bank of Baroda,"House 706, Netaji Nagar, Muzaffarpur",Muzaffarpur,PMSBY Insurance,1420.6,1981-03-07,9965030793,2024-07-10
55,Mangala Devi,897156881125,92836375177,Union Bank,"Plot No.5, Near Panchayat Office, Gaya",Gaya,PMKVY Skill Dev,12452.85,1990-01-01,9430200886,2022-05-12
56,Saroj Nath,578902531434,84933207378,Punjab National Bank,"House 279, Gandhi Nagar, Lakhimpur",Lakhimpur,PM Ujjwala,3172.68,1963-01-11,9681001548,2023-03-22
57,Shanti Kumar,902680060150,03931021769,Punjab National Bank,"House 278, Rampur, Muzaffarpur",Muzaffarpur,NSP Scholarship,5887.77,2000-02-16,9153006898,2021-10-24
58,Anil Mallah,457964250235,12345678901,Bank of Baroda,"House 173, Gandhi Nagar, Muzaffarpur",Muzaffarpur,PMSBY Insurance,1532.45,1982-06-15,9678557624,2021-10-12
59,Ashok Chauhan,886989817819,55499755341,Punjab National Bank,"House 71, Ambedkar Nagar, Jaipur",Jaipur,PMKVY Skill Dev,8564.17,2000-08-23,9056385754,2024-06-27
60,Seema Maurya,779063135351,37659008372,Allahabad Bank,"House 179, Krishnanagar, Jaipur",Jaipur,NSP Scholarship,9756.52,1973-02-15,9667348025,2022-08-31
61,Sunita Thakur,760576665142,95792676259,Bank of India,"House 267, Sardar Patel Nagar, Ludhiana",Ludhiana,PM Ujjwala,2704.37,1967-06-11,9064698919,2020-11-15
62,Asha Kurmi,264885545929,75206897715,Indian Bank,"House 933, Bapunagar, Lucknow",Lucknow,PM-KISAN,4240.75,1961-03-14,9572714835,2023-04-04
63,Rekha Roy,415624375846,68663972128,Allahabad Bank,"Plot No.2, Near Panchayat Office, Jorhat",Jodhpur,MGNREGA,5906.2,1990-06-06,9373670827,2025-02-22
64,Guddi Verma,176805263684,00000000000,State Bank of India,"House 893, Lal Bahadur Nagar, Ludhiana",Ludhiana,PM Fasal Bima,22593.55,1978-12-23,9397023751,2022-02-27
65,Babli Mukherjee,704931672155,56454565787,Punjab National Bank,"House 362, Lal Bahadur Nagar, Muzaffarpur",Muzaffarpur,PMSBY Insurance,1248.27,1996-06-04,9293999983,2021-06-12
66,Bharat Joshi,388635645950,60452770242,Union Bank,"House 382, Ambedkar Nagar, Muzaffarpur",Muzaffarpur,PM Ujjwala,2735.6,1972-12-30,9212656086,2023-02-19
67,Ganga Singh,304118102905,88517740748,Indian Bank,"House 597, Shantinagar, Udaipur",Udaipur,PM-KISAN,5424.99,1989-08-06,9849316207,2021-11-12
68,Munni Pillai,343010403181,95282218976,Allahabad Bank,"House 307, Azad Nagar, Barpeta",Barpeta,NSAP Pension,5861.25,1959-02-19,9152276183,2025-02-09
69,Vijay Kewat,701414778567,83387852493,Bank of Baroda,"House 334, Shantinagar, Patna",Patna,PMKVY Skill Dev,14713.54,1997-07-25,9476965941,2021-10-31
70,Hari Joshi,884982301473,35953985565,Union Bank,"House 884, Model Town, Jaipur",Jaipur,PM Ujjwala,2349.0,2000-06-09,9460404761,2022-11-01
71,Priya Kahar,674428626769,62337826538,Indian Bank,"House 669, Gandhi Nagar, Darrang",Darrang,NSP Scholarship,8013.09,1968-01-24,9276110277,2025-02-07
72,Yogesh Mishra,018031953961,93734626423,UCO Bank,"House 477, Sardar Patel Nagar, Bhopal",Bhopal,PMSBY Insurance,1535.82,1992-10-30,9510792446,2024-01-06
73,Pushpa Singh,474794910025,47962743979,Punjab National Bank,"House 821, Sardar Patel Nagar, Varanasi",Varanasi,NSAP Pension,2458.08,1997-02-07,9010477089,2021-11-30
74,Dinesh Ghosh,023284991063,16040962491,UCO Bank,"House 646, Bapunagar, Darrang",Darrang,PMKVY Skill Dev,12075.49,1972-06-23,9042591117,2021-02-15
75,Ashok Singh,235993202201,70085147731,State Bank of India,"House 221, Krishnanagar, Muzaffarpur",Muzaffarpur,NSAP Pension,4781.94,1993-06-01, ,2023-06-18
76,Prakash Shah,025559545462,93481171131,Allahabad Bank,"House 399, Rajiv Nagar, Lakhimpur",Lakhimpur,PM-KISAN,5907.7,1979-03-24,9028486205,2024-03-16
77,Suresh Tiwari,291523796430,68805128124,Bank of India,"House 125, Rajiv Nagar, Muzaffarpur",Muzaffarpur,NSAP Pension,5322.74,1984-11-17,9888752048,2021-12-26
78,Nisha Bind,763164359750,41051689844,Bank of Baroda,"House 345, Shantinagar, Indore",Indore,PMKVY Skill Dev,9556.72,1976-10-04,9394415446,2023-10-04
79,Rekha Rajput,852477306153,03223485243,Indian Bank,"House 193, Lal Bahadur Nagar, Darrang",Darrang,MGNREGA,5132.4,1997-05-12,9701633451,2022-09-21
80,Tulsi Das,820924643861,31356285647,Punjab National Bank,"House 739, Bapunagar, Sonitpur",Sonitpur,PM Awas Yojana,146107.21,1995-03-28,9586230651,2021-04-05
81,Ganga Iyer,325348178446,14636003122,UCO Bank,"House 105, Model Town, Bhopal",Bhopal,PM Fasal Bima,10232.37,1969-07-31,9500889393,2021-04-11
82,Naresh Gupta,227545909604,22048441761,State Bank of India,"House 363, Bapunagar, Sonitpur",Sonitpur,PMSBY Insurance,1685.18,1972-10-15,9550649382,2022-01-29
83,Rajan Naidu,046353401652,08917038850,Union Bank,"House 353, Gandhi Nagar, Lucknow",Lucknow,PM Awas Yojana,126878.99,1956-09-10,9783321706,2020-11-10
84,Naresh Mallah,344101377995,06604506734,Union Bank,"House 340, Rampur, Jaipur",Jaipur,PM Ujjwala,1897.55,1973-06-08,9596623671,2024-03-15
85,Shanti Singh,040581974417,29228310600,Canara Bank,"House 596, New Colony, Bilaspur",Bilaspur,MGNREGA,7159.03,1974-10-02,9572089950,2025-07-06
86,Anita Kewat,794789213773,51914479315,Bank of India,"House 720, Shantinagar, Kamrup",Kamrup,Ayushman Bharat,42476.72,1965-01-18,9241346210,2024-02-17
87,Anita Mehta,720810312294,36219210482,Indian Bank,"House 117, Azad Nagar, Darrang",Darrang,PM Awas Yojana,145461.5,1997-07-21,9372240104,2023-01-19
88,Lalita Kumar,424829472007,64289876337,Punjab National Bank,"House 161, Ambedkar Nagar, Barpeta",Barpeta,NSAP Pension,5332.14,1991-08-28,9441268560,2021-10-06
89,Mahesh Chatterjee,211356355470,53278954319,Central Bank,"House 293, Model Town, Bhopal",Bhopal,PMSBY Insurance,1366.65,1998-06-01,9145074480,2022-11-09
90,Bharat Jha,674428626769,67186659231,UCO Bank,"House 44, Indira Colony, Jaipur",Jaipur,PMSBY Insurance,1866.03,1989-07-26,9530366359,2025-11-13
91,Sunita Verma,977513341067,14934465599,Bank of India,"House 934, Netaji Nagar, Varanasi",Varanasi,PM Ujjwala,2980.74,1987-08-27,9765044001,2025-09-27
92,Leela Nath,741948274049,40798837039,Bank of India,"House 590, Subhash Nagar, Darbhanga",Darbhanga,PMKVY Skill Dev,13428.94,1990-11-21,9760793061,2025-01-03
93,Anjali Nirmalkar,543219705092,35724097578,Central Bank,"House 153, New Colony, Muzaffarpur",Muzaffarpur,PMKVY Skill Dev,11864.52,1996-03-19,9844856704,2022-07-17
94,Umesh Mukherjee,820627913443,28593319165,Allahabad Bank,"House 571, Rampur, Goalpara",Goalpara,PM Ujjwala,2248.54,1996-05-26,9785899941,2023-03-13
95,Ganesh Pandey,149437445345,66489417004,Canara Bank,"House 735, Nehru Vihar, Gaya",Gaya,PMSBY Insurance,1292.66,1999-03-20,9085298865,2020-12-17
96,Tulsi Pillai,373585949234,60464994405,Allahabad Bank,"House 698, Subhash Nagar, Sivasagar",Sivasagar,PM Fasal Bima,16019.53,1979-02-17,9289981288,2023-05-29
97,Vandana Bind,605490537707,00986491798,UCO Bank,"House 145, Azad Nagar, Kamrup",Kamrup,PMSBY Insurance,1774.18,1970-05-28,9623604394,2021-04-03
98,Mukesh Sharma,480184087026,35092001682,Bank of Baroda,"House 11, Ambedkar Nagar, Amritsar",Amritsar,PM-KISAN,4208.55,1983-01-18,9825748683,2024-10-15
99,Mohan Singh,526038661489,45549904557,State Bank of India,"House 11, New Colony, Darrang",Darrang,PM-KISAN,5322.93,1983-09-03,9881501318,2024-11-20
100,Nisha Mehta,887533326826,81674532581,Allahabad Bank,"House 821, Nehru Vihar, Lakhimpur",Lakhimpur,PM Awas Yojana,143616.75,1987-04-08,9079685087,2023-06-28
101,Ritu Jha,449241263253,00437527805,Bank of Baroda,"House 883, Rampur, Sivasagar",Sivasagar,PM Fasal Bima,17334.78,1958-09-03,9981992069,2024-01-28
102,Anjali Roy,750016750106,87086559940,UCO Bank,"House 990, Shantinagar, Lucknow",Lucknow,PMKVY Skill Dev,10783.02,1994-01-26,9816186705,2021-05-13
103,Sunita Mukherjee,438111605387,17769537867,UCO Bank,"House 411, Sardar Patel Nagar, Darrang",Darrang,Ayushman Bharat,45814.49,1980-01-17,9583426263,2025-09-14
104,Pooja Iyer,760778085968,39099769082,Allahabad Bank,"House 252, Lal Bahadur Nagar, Gorakhpur",Gorakhpur,PM Awas Yojana,129570.08,1982-04-17,9212777935,2022-05-24
105,Ganga Joshi,351350083261,96013776582,Indian Bank,"House 489, Ambedkar Nagar, Dhubri",Dhubri,PM Ujjwala,3143.69,1956-10-08,9129007455,2023-01-22
106,Vandana Sharma,579505864205,19228475657,State Bank of India,"House 477, New Colony, Gorakhpur",Gorakhpur,PM-KISAN,2278.68,1966-04-09,9289926080,2024-05-10
107,Sunita Kurmi,100330091329,61576152080,UCO Bank,"House 930, Lal Bahadur Nagar, Lucknow",Lucknow,NSAP Pension,1814.2,1974-10-13,9203083190,2023-07-22
108,Rajesh Tiwari,861928375125,68852106285,Bank of India,"House 433, Rampur, Gaya",Gaya,PMKVY Skill Dev,8125.56,1990-03-06,9145257649,2021-03-17
109,Kiran Shah,063845093339,04070974747,Canara Bank,"House 951, Rampur, Patna",Patna,MGNREGA,11196.5,1962-07-25,9902790269,2023-12-24
110,Rakesh Nair,372053652944,84526218175,Indian Bank,"House 549, Gandhi Nagar, Muzaffarpur",Muzaffarpur,PM-KISAN,4939.18,1991-04-19,9262615257,2022-03-25
111,Tulsi Singh,580429040053,16207345840,Bank of Baroda,"Plot No.2, Near Panchayat Office, Jorhat",Bhopal,PM Ujjwala,2772.12,1991-03-28,9377086786,2024-09-15
112,Lalita Tiwari,611801121730,37443403687,Punjab National Bank,"Plot No.2, Near Panchayat Office, Jorhat",Jodhpur,MGNREGA,14294.05,1980-07-25,9105656507,2023-01-17
113,Leela Nath,228357931043,88930268792,Central Bank,"House 966, Sardar Patel Nagar, Barpeta",Barpeta,PM Fasal Bima,5646.45,1981-03-24,9014088131,2025-04-05
114,Dinesh Joshi,967567209857,67055578141,Union Bank,"House 942, Model Town, Patna",Patna,PM Awas Yojana,135933.3,1964-04-15,9254123040,2023-10-29
115,Vijay Sharma,700143760741,89265444437,Bank of India,"House 43, Gandhi Nagar, Lucknow",Lucknow,PMKVY Skill Dev,14590.13,1993-12-21,9757539301,2022-05-01
116,Deepak Roy,930345126639,34593402140,UCO Bank,"House 319, Indira Colony, Darbhanga",Darbhanga,PM Awas Yojana,142019.06,1970-03-06,9322732118,2020-12-13
117,Prakash Thakur,592515750651,09010562641,Canara Bank,"House 749, New Colony, Varanasi",Varanasi,NSAP Pension,5822.01,1997-04-29,9999172471,2024-02-08
118,Guddi Chauhan,402265112466,27762553503,Allahabad Bank,"House 706, Rajiv Nagar, Jaipur",Jaipur,PM Awas Yojana,121402.19,1978-07-15,9836652621,2020-10-18
119,Pushpa Chauhan,015403958205,26502732454,State Bank of India,"House 175, Lal Bahadur Nagar, Sonitpur",Sonitpur,Ayushman Bharat,18455.61,1988-10-18,9296132796,2025-12-17
120,Rekha Joshi,464332083691,89047218449,Union Bank,"House 978, Gandhi Nagar, Kanpur",Kanpur,PM Awas Yojana,145817.08,1927-04-13,9366706636,2021-04-01
121,Tulsi Mallah,261884460931,09564819685,Bank of Baroda,"House 205, Lal Bahadur Nagar, Sivasagar",Sivasagar,NSP Scholarship,10316.88,1969-06-20, ,2025-09-02
122,Ganesh Reddy,337339033638,41660814225,Indian Bank,"House 95, Netaji Nagar, Indore",Indore,PM Fasal Bima,4652.86,1957-05-29,9495922501,2024-02-14
123,Sunil Reddy,511707780193,03481707092,Allahabad Bank,"House 278, Krishnanagar, Nagaon",Nagaon,PM Ujjwala,1697.7,1996-12-22,9829854155,2020-12-11
124,Kavita Thakur,052214433458,94865879711,Union Bank,"House 135, Model Town, Sonitpur",Sonitpur,PMKVY Skill Dev,12746.78,1996-08-20,9993883012,2023-06-11
125,Mahesh Mallah,182598087088,15514254028,Central Bank,"House 947, Lal Bahadur Nagar, Muzaffarpur",Muzaffarpur,PM Ujjwala,2393.92,1972-12-10,9095814443,2022-11-28
126,Guddi Nirmalkar,487971707315,70665032186,Central Bank,"House 953, Rampur, Patna",Patna,PM Ujjwala,1780.77,1984-04-27,9234050030,2024-11-20
127,Savita Nirmalkar,543078446440,17833744079,Punjab National Bank,"House 597, Ambedkar Nagar, Raipur",Raipur,Ayushman Bharat,31374.98,1972-08-30,9589321192,2023-02-11
128,Naresh Naidu,232903599277,41865722674,State Bank of India,"Plot No.2, Near Panchayat Office, Jorhat",Jabalpur,PM Awas Yojana,143547.22,1973-03-13,9267954761,2022-05-27
129,Usha Nirmalkar,313085653146,41718914826,Allahabad Bank,"House 735, Krishnanagar, Bhopal",Bhopal,MGNREGA,10075.24,1961-11-07,9495681944,2025-06-27
130,Suman Mukherjee,118789176441,26189625662,Allahabad Bank,"House 912, Nehru Vihar, Bhagalpur",Bhagalpur,NSAP Pension,5551.79,1962-05-01,9275473829,2025-08-02
131,Babli Mehta,034069807618,84509051064,Union Bank,"House 386, Nehru Vihar, Gorakhpur",Gorakhpur,NSP Scholarship,10929.21,1983-11-08,9696340529,2021-12-03
132,Dinesh Singh,360013366867,54706077028,Allahabad Bank,"House 585, Krishnanagar, Udaipur",Udaipur,PM Fasal Bima,20017.83,1971-11-02,9930366339,2024-07-09
133,Suman Verma,637683423286,03780520975,Allahabad Bank,"House 422, Shantinagar, Indore",Indore,PM Fasal Bima,5838.36,1986-04-02,9159686831,2020-12-31
134,Sunita Iyer,311275498141,68111304683,Canara Bank,"House 128, Indira Colony, Udaipur",Udaipur,PM Awas Yojana,122248.62,1960-05-13,9119043459,2025-07-10
135,Rekha Rani,668308039025,12345678901,Bank of Baroda,"House 986, Krishnanagar, Nagaon",Nagaon,PM Ujjwala,3118.83,1989-05-23,9004672444,2022-07-12
136,Vinod Joshi,254514538887,09370930523,Bank of India,"House 338, Rajiv Nagar, Sonitpur",Sonitpur,Ayushman Bharat,46763.38,1966-07-23,9014456078,2023-08-30
137,Anita Nath,811157411686,60241905522,Punjab National Bank,"House 927, Nehru Vihar, Goalpara",Goalpara,PMKVY Skill Dev,11370.69,1968-08-26,9819081535,2024-10-19
138,Yogesh Bose,098301457325,63749750904,Central Bank,"House 789, Nehru Vihar, Raipur",Raipur,Ayushman Bharat,47010.02,1992-10-25,9495093046,2021-03-29
139,Nisha Roy,785304650680,50233795017,Central Bank,"House 863, Sardar Patel Nagar, Nagaon",Nagaon,PM Awas Yojana,147398.51,1998-03-25,9856894996,2023-08-23
140,Vandana Pillai,662862513857,50958158272,Central Bank,"House 107, Lal Bahadur Nagar, Patna",Patna,PM Ujjwala,3040.3,1989-02-03,9683989966,2022-01-11
141,Suman Ghosh,369838069266,65756094576,Punjab National Bank,"House 791, Indira Colony, Jorhat",Jorhat,PM-KISAN,4378.03,1980-05-29,9754878930,2021-06-06
142,Umesh Chatterjee,373879887596,13863454803,Bank of India,"House 266, Indira Colony, Kanpur",Kanpur,PM Awas Yojana,136507.07,1981-02-20,9229484374,2021-08-15
143,Munni Tiwari,593431575917,70061789781,Central Bank,"House 57, Subhash Nagar, Barpeta",Barpeta,PM Awas Yojana,129009.86,1958-05-24,9428903196,2023-07-31
144,Tulsi Chauhan,324595711852,65387931041,UCO Bank,"House 542, Bapunagar, Jabalpur",Jabalpur,PM Ujjwala,2558.16,1993-05-21,9904119702,2022-03-09
145,Priya Gupta,865434755857,14737404519,Punjab National Bank,"House 769, Rajiv Nagar, Jabalpur",Jabalpur,PM-KISAN,3591.48,1970-08-17,9513223385,2025-04-17
146,Devaki Kumar,485550749664,16273202100,UCO Bank,"Plot No.4, Near Panchayat Office, Sonitpur",Bhopal,PMKVY Skill Dev,9115.43,1970-11-25,9179653392,2021-08-10
147,Ganga Das,932566318587,69373060812,Punjab National Bank,"House 78, Netaji Nagar, Patna",Patna,PM Fasal Bima,18927.05,1985-04-08,9867408954,2022-05-22
148,Ritu Rajput,799021479508,97058313923,Punjab National Bank,"House 437, Model Town, Lucknow",Lucknow,NSAP Pension,4353.63,1990-06-08,9577226622,2020-10-19
149,Suman Mishra,808827494370,01470710290,Allahabad Bank,"House 256, New Colony, Kanpur",Kanpur,MGNREGA,11668.75,1990-10-31,9187378598,2025-01-21
150,Kiran Nair,134953413302,76738605172,Bank of Baroda,"Plot No.5, Near Panchayat Office, Gaya",Lucknow,PMSBY Insurance,1827.14,1961-07-04,9560931410,2023-03-13
151,Ritu Singh,057618582502,64635583236,Central Bank,"House 803, Subhash Nagar, Indore",Indore,PM-KISAN,4533.59,1958-02-01,9621075280,2024-09-01
152,Mamta Chauhan,504742114423,11111111111,Bank of Baroda,"House 967, Sardar Patel Nagar, Gaya",Gaya,PM Ujjwala,1862.92,1924-01-04, ,2023-09-19
153,Ritu Patel,325951662475,96480892435,Central Bank,"House 993, Sardar Patel Nagar, Sivasagar",Sivasagar,PMSBY Insurance,1644.85,1976-03-20,9733999284,2022-09-29
154,Ramesh Lodhi,520622180101,21086046947,Canara Bank,"House 945, Indira Colony, Jodhpur",Jodhpur,NSAP Pension,2363.58,1985-02-28,9243679640,2021-06-28
155,Geeta Reddy,127451291037,62712647791,State Bank of India,"House 102, Nehru Vihar, Jaipur",Jaipur,Ayushman Bharat,22553.58,1959-09-05,9132296756,2023-05-07
156,Saroj Roy,552095391233,14636003122,Punjab National Bank,"House 721, Model Town, Sonitpur",Sonitpur,MGNREGA,6644.81,1998-05-03,9799357550,2025-07-08
157,Anita Nath,104732699101,57299375209,Canara Bank,"House 994, Model Town, Lakhimpur",Lakhimpur,PMKVY Skill Dev,8556.43,1973-07-19,9523785669,2023-05-23
